timestamp,symbol,open,high,low,close,volume
2024-01-02 09:30:00,AAPL,185.00,186.50,184.20,185.90,1200000
2024-01-02 09:30:00,MSFT,375.00,377.00,374.00,376.50,800000
2024-01-02 09:31:00,AAPL,185.90,187.00,185.50,186.80,950000
2024-01-02 09:31:00,MSFT,376.50,378.00,376.00,377.20,720000
2024-01-02 09:32:00,AAPL,186.80,188.00,186.50,187.50,1100000
2024-01-02 09:32:00,MSFT,377.20,379.00,377.00,378.50,680000
2024-01-02 09:33:00,AAPL,999999.00,188.50,187.00,188.00,1050000
2024-01-02 09:33:00,MSFT,378.50,380.00,378.00,379.00,710000
2024-01-02 09:34:00,AAPL,188.00,189.00,187.50,188.50,980000
2024-01-02 09:34:00,MSFT,,380.50,379.00,380.00,690000
2024-01-02 09:35:00,AAPL,188.50,190.00,188.00,189.00,1020000
2024-01-02 09:35:00,MSFT,380.00,381.50,379.50,381.00,730000
2024-01-02 09:35:00,AAPL,188.50,190.00,188.00,189.00,1020000
2024-01-02 09:36:00,GOOG,140.00,141.00,139.50,140.50,500000
2024-01-02 09:36:00,MSFT,-50.00,382.00,380.50,381.50,750000
